产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
粮食及其制品-->大米,梧桐珍珠米,黑龙江泰丰粮油食品有限公司,黑龙江市场监管局,不合格,2015-01-07,〔2015〕3号,5kg/袋,梧桐,黑龙江泰丰粮油食品有限公司,,黑龙江泰丰粮油食品有限公司,,黑龙江市场监管局,,2015-01-07,无机砷,0.2mg/kg,,对本次省级食品安全监督抽检中的不合格产品及其生产经营企业依法进行处理，并将省外生产企业的不合格产品信息函告相关省、自治区、直辖市食品药品监管部门,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75521
粮食及其制品-->小麦制品,泡椒牛筋,崔文芳（北京市双意达彩扩服务部）,北京市场监管局,不合格,2015-01-28,,260 g/袋,不差钱,沈阳新艺昌食品厂,,崔文芳（北京市双意达彩扩服务部）,,北京市场监管局,,2015-01-28,环己基氨基磺酸钠,2.9g/kg,不得检出,在流通领域采取停止销售措施，名单予以公示,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75294
粮食及其制品-->小麦制品,泡椒牛筋,崔文芳（北京市双意达彩扩服务部）,北京市场监管局,不合格,2015-01-28,,260 g/袋,不差钱,沈阳新艺昌食品厂,,崔文芳（北京市双意达彩扩服务部）,,北京市场监管局,,2015-01-28,柠檬黄,0.026g/kg,不得检出,在流通领域采取停止销售措施，名单予以公示,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75295
粮食及其制品-->大米,东北老粗米,昆山润华商业有限公司绥化分公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,东北星火乡,佳木斯市星火米业有限公司,,昆山润华商业有限公司绥化分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475795
粮食及其制品-->大米,优质东北大米,昆山润华商业有限公司绥化分公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,金龙鱼,益海嘉里（哈尔滨）粮油食品工业有限公司,,昆山润华商业有限公司绥化分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475796
粮食及其制品-->大米,特选长粒香米粳米,昆山润华商业有限公司绥化分公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,金元宝,益海嘉里（哈尔滨）粮油食品工业有限公司,,昆山润华商业有限公司绥化分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475797
粮食及其制品-->大米,东北大米原香稻,垦区红兴隆宜买家食品超市,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,金龙鱼,益海嘉里（哈尔滨）粮油食品工业有限公司,,垦区红兴隆宜买家食品超市,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475798
粮食及其制品-->大米,金龙鱼清香稻,垦区红兴隆宜买家食品超市,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,金龙鱼,益海嘉里（哈尔滨）粮油食品工业有限公司,,垦区红兴隆宜买家食品超市,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475799
粮食及其制品-->大米,御品国珍五常香米,垦区红兴隆宜买家食品超市,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,香满园,益海嘉里（哈尔滨）粮油食品工业有限公司,,垦区红兴隆宜买家食品超市,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475800
粮食及其制品-->大米,葵花阳光家庭特惠,垦区红兴隆宜买家食品超市,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,葵花,五常葵花阳光米业有限公司,,垦区红兴隆宜买家食品超市,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475801
粮食及其制品-->大米,葵花阳光清香系列,垦区红兴隆宜买家食品超市,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,葵花,五常葵花阳光米业有限公司,,垦区红兴隆宜买家食品超市,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475802
粮食及其制品-->大米,禾典稻花香,绥化市正大米业有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,禾典,绥化市正大米业有限公司,,绥化市正大米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475783
粮食及其制品-->大米,禾典长粒香,绥化市正大米业有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,禾典,绥化市正大米业有限公司,,绥化市正大米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475784
粮食及其制品-->大米,禾典珍珠米,绥化市正大米业有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,禾典,绥化市正大米业有限公司,,绥化市正大米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475785
粮食及其制品-->大米,稻花香一粒谷,黑龙江省恒昌米业有限公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,一粒谷,黑龙江省恒昌米业有限公司,,黑龙江省恒昌米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475786
粮食及其制品-->大米,一粒谷珍珠米,黑龙江省恒昌米业有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,一粒谷,黑龙江省恒昌米业有限公司,,黑龙江省恒昌米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475787
粮食及其制品-->大米,秦河源自然香米,绥化市亲友精制米业有限公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,秦河源,绥化市亲友精制米业有限公司,,绥化市亲友精制米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475788
粮食及其制品-->大米,生态米,绥化市亲友精制米业有限公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,胜鼎河,绥化市亲友精制米业有限公司,,绥化市亲友精制米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475789
粮食及其制品-->大米,稼稻米,绥化市嘉香米业有限公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,诺敏河,绥化市嘉香米业有限公司,,绥化市嘉香米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475790
粮食及其制品-->大米,苗氏香米,绥化市嘉香米业有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,诺敏河,绥化市嘉香米业有限公司,,绥化市嘉香米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475791
粮食及其制品-->大米,恒瑞御贡长粒香米,绥化市恒瑞米业有限责任公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,恒瑞,绥化市恒瑞米业有限责任公司,,绥化市恒瑞米业有限责任公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475792
粮食及其制品-->大米,长粒香,昆山润华商业有限公司绥化分公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,五湖,中粮米业（五常）有限公司,,昆山润华商业有限公司绥化分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475793
粮食及其制品-->大米,东北星火大米,昆山润华商业有限公司绥化分公司,黑龙江市场监管局,合格,2015-02-04,,5kg/包,东北星火乡,佳木斯市星火米业有限公司,,昆山润华商业有限公司绥化分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475794
粮食及其制品-->大米,（金穗五常）稻花香米,大商集团七台河新玛特购物广场有限公司,黑龙江市场监管局,合格,2015-02-04,,2.5kg/袋,五常,黑龙江五常金穗粮油有限公司,,大商集团七台河新玛特购物广场有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475775
粮食及其制品-->大米,东北长粒香大米,大商集团七台河新玛特购物广场有限公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,依米兰香,依兰县宏信米业有限公司,,大商集团七台河新玛特购物广场有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475776
粮食及其制品-->大米,北味东北香米,大商集团七台河新玛特购物广场有限公司,黑龙江市场监管局,合格,2015-02-04,,500g/袋,北味,海林市北味天然食品有限公司,,大商集团七台河新玛特购物广场有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475777
